Date- Sun Aug 20 2023 11:47:51 GMT+0100 (British Summer Time) | Request Method : POST | Request path : /api/users
Date- Sun Aug 20 2023 11:59:57 GMT+0100 (British Summer Time) | Request Method : POST | Request path : /api/users
Date- Sun Aug 20 2023 12:08:21 GMT+0100 (British Summer Time) | Request Method : GET | Request path : /users
Date- Sun Aug 20 2023 12:08:55 GMT+0100 (British Summer Time) | Request Method : GET | Request path : /api/users
Date- Sun Aug 20 2023 12:08:55 GMT+0100 (British Summer Time) | Request Method : GET | Request path : /favicon.ico
Date- Sun Aug 20 2023 12:09:11 GMT+0100 (British Summer Time) | Request Method : GET | Request path : /api/users
Date- Sun Aug 20 2023 12:09:11 GMT+0100 (British Summer Time) | Request Method : GET | Request path : /favicon.ico
Date- Sun Aug 20 2023 12:09:19 GMT+0100 (British Summer Time) | Request Method : GET | Request path : /api/users
Date- Sun Aug 20 2023 12:09:20 GMT+0100 (British Summer Time) | Request Method : GET | Request path : /favicon.ico
Date- Sun Aug 20 2023 12:09:29 GMT+0100 (British Summer Time) | Request Method : GET | Request path : /api/users
Date- Sun Aug 20 2023 12:09:29 GMT+0100 (British Summer Time) | Request Method : GET | Request path : /favicon.ico
Date- Sun Aug 20 2023 12:10:58 GMT+0100 (British Summer Time) | Request Method : GET | Request path : /api/users/64e1f22d189a1caffd7cd7d3
